train_sub,test_sub,task,diff_sub,same_sub
MSC01,MSC02,glass,0.5546875,0.875
MSC01,MSC02,semantic,0.8671875,0.9375
MSC01,MSC02,motor,0.90625,1.0
MSC01,MSC02,mem,0.9296875,1.0
MSC01,MSC03,glass,0.5,0.875
MSC01,MSC03,semantic,0.8125,0.9375
MSC01,MSC03,motor,0.9609375,1.0
MSC01,MSC03,mem,0.8203125,1.0
MSC01,MSC04,glass,0.6328125,0.875
MSC01,MSC04,semantic,0.7109375,0.9375
MSC01,MSC04,motor,0.9765625,1.0
MSC01,MSC04,mem,0.8359375,1.0
MSC01,MSC05,glass,0.5078125,0.875
MSC01,MSC05,semantic,0.5,0.9375
MSC01,MSC05,motor,0.8984375,1.0
MSC01,MSC05,mem,0.953125,1.0
MSC01,MSC06,glass,0.5,0.875
MSC01,MSC06,semantic,0.5625,0.9375
MSC01,MSC06,motor,0.78125,1.0
MSC01,MSC06,mem,0.9296875,1.0
MSC01,MSC07,glass,0.9609375,0.875
MSC01,MSC07,semantic,0.9921875,0.9375
MSC01,MSC07,motor,0.953125,1.0
MSC01,MSC07,mem,0.8046875,1.0
MSC01,MSC10,glass,0.515625,0.875
MSC01,MSC10,semantic,0.703125,0.9375
MSC01,MSC10,motor,1.0,1.0
MSC01,MSC10,mem,0.9296875,1.0
MSC02,MSC01,glass,0.5,0.75
MSC02,MSC01,semantic,0.5,0.875
MSC02,MSC01,motor,0.5,0.9375
MSC02,MSC01,mem,1.0,1.0
MSC02,MSC03,glass,0.5,0.75
MSC02,MSC03,semantic,0.5,0.875
MSC02,MSC03,motor,0.7265625,0.9375
MSC02,MSC03,mem,0.796875,1.0
MSC02,MSC04,glass,0.5,0.75
MSC02,MSC04,semantic,0.5,0.875
MSC02,MSC04,motor,0.5546875,0.9375
MSC02,MSC04,mem,1.0,1.0
MSC02,MSC05,glass,0.5,0.75
MSC02,MSC05,semantic,0.5,0.875
MSC02,MSC05,motor,0.5625,0.9375
MSC02,MSC05,mem,0.96875,1.0
MSC02,MSC06,glass,0.5,0.75
MSC02,MSC06,semantic,0.5234375,0.875
MSC02,MSC06,motor,0.5,0.9375
MSC02,MSC06,mem,0.9375,1.0
MSC02,MSC07,glass,0.53125,0.75
MSC02,MSC07,semantic,0.625,0.875
MSC02,MSC07,motor,0.5,0.9375
MSC02,MSC07,mem,0.9140625,1.0
MSC02,MSC10,glass,0.5,0.75
MSC02,MSC10,semantic,0.5,0.875
MSC02,MSC10,motor,0.53125,0.9375
MSC02,MSC10,mem,0.921875,1.0
MSC03,MSC01,glass,0.5,0.8125
MSC03,MSC01,semantic,0.5,0.875
MSC03,MSC01,motor,0.71875,1.0
MSC03,MSC01,mem,0.6640625,0.9375
MSC03,MSC02,glass,0.5,0.8125
MSC03,MSC02,semantic,0.5,0.875
MSC03,MSC02,motor,0.9453125,1.0
MSC03,MSC02,mem,0.90625,0.9375
MSC03,MSC04,glass,0.5,0.8125
MSC03,MSC04,semantic,0.5,0.875
MSC03,MSC04,motor,0.828125,1.0
MSC03,MSC04,mem,0.8515625,0.9375
MSC03,MSC05,glass,0.5703125,0.8125
MSC03,MSC05,semantic,0.5078125,0.875
MSC03,MSC05,motor,0.90625,1.0
MSC03,MSC05,mem,0.921875,0.9375
MSC03,MSC06,glass,0.5,0.8125
MSC03,MSC06,semantic,0.5,0.875
MSC03,MSC06,motor,0.7265625,1.0
MSC03,MSC06,mem,0.6484375,0.9375
MSC03,MSC07,glass,0.5546875,0.8125
MSC03,MSC07,semantic,0.5,0.875
MSC03,MSC07,motor,0.8203125,1.0
MSC03,MSC07,mem,0.5546875,0.9375
MSC03,MSC10,glass,0.5,0.8125
MSC03,MSC10,semantic,0.5,0.875
MSC03,MSC10,motor,0.7734375,1.0
MSC03,MSC10,mem,0.7890625,0.9375
MSC04,MSC01,glass,0.6484375,0.9375
MSC04,MSC01,semantic,0.8125,0.9375
MSC04,MSC01,motor,1.0,1.0
MSC04,MSC01,mem,0.9375,1.0
MSC04,MSC02,glass,0.515625,0.9375
MSC04,MSC02,semantic,0.6015625,0.9375
MSC04,MSC02,motor,0.984375,1.0
MSC04,MSC02,mem,0.9296875,1.0
MSC04,MSC03,glass,0.53125,0.9375
MSC04,MSC03,semantic,0.71875,0.9375
MSC04,MSC03,motor,0.9375,1.0
MSC04,MSC03,mem,0.6953125,1.0
MSC04,MSC05,glass,0.53125,0.9375
MSC04,MSC05,semantic,0.5390625,0.9375
MSC04,MSC05,motor,0.9921875,1.0
MSC04,MSC05,mem,0.921875,1.0
MSC04,MSC06,glass,0.6796875,0.9375
MSC04,MSC06,semantic,0.609375,0.9375
MSC04,MSC06,motor,0.984375,1.0
MSC04,MSC06,mem,1.0,1.0
MSC04,MSC07,glass,0.609375,0.9375
MSC04,MSC07,semantic,0.8828125,0.9375
MSC04,MSC07,motor,0.9453125,1.0
MSC04,MSC07,mem,0.890625,1.0
MSC04,MSC10,glass,0.8125,0.9375
MSC04,MSC10,semantic,0.609375,0.9375
MSC04,MSC10,motor,1.0,1.0
MSC04,MSC10,mem,0.796875,1.0
MSC05,MSC01,glass,0.546875,0.9375
MSC05,MSC01,semantic,0.7421875,1.0
MSC05,MSC01,motor,0.5703125,1.0
MSC05,MSC01,mem,0.984375,1.0
MSC05,MSC02,glass,0.546875,0.9375
MSC05,MSC02,semantic,0.734375,1.0
MSC05,MSC02,motor,0.8359375,1.0
MSC05,MSC02,mem,0.7421875,1.0
MSC05,MSC03,glass,0.5625,0.9375
MSC05,MSC03,semantic,0.8828125,1.0
MSC05,MSC03,motor,0.8359375,1.0
MSC05,MSC03,mem,0.9296875,1.0
MSC05,MSC04,glass,0.5,0.9375
MSC05,MSC04,semantic,0.65625,1.0
MSC05,MSC04,motor,0.6796875,1.0
MSC05,MSC04,mem,0.8125,1.0
MSC05,MSC06,glass,0.5859375,0.9375
MSC05,MSC06,semantic,0.6953125,1.0
MSC05,MSC06,motor,0.6953125,1.0
MSC05,MSC06,mem,1.0,1.0
MSC05,MSC07,glass,0.5,0.9375
MSC05,MSC07,semantic,0.5625,1.0
MSC05,MSC07,motor,0.65625,1.0
MSC05,MSC07,mem,0.9609375,1.0
MSC05,MSC10,glass,0.5,0.9375
MSC05,MSC10,semantic,0.515625,1.0
MSC05,MSC10,motor,0.71875,1.0
MSC05,MSC10,mem,0.9453125,1.0
MSC06,MSC01,glass,0.5078125,0.8125
MSC06,MSC01,semantic,0.7109375,0.875
MSC06,MSC01,motor,0.671875,1.0
MSC06,MSC01,mem,0.9375,1.0
MSC06,MSC02,glass,0.5,0.8125
MSC06,MSC02,semantic,0.7578125,0.875
MSC06,MSC02,motor,0.578125,1.0
MSC06,MSC02,mem,0.875,1.0
MSC06,MSC03,glass,0.5,0.8125
MSC06,MSC03,semantic,0.7734375,0.875
MSC06,MSC03,motor,0.7890625,1.0
MSC06,MSC03,mem,0.8828125,1.0
MSC06,MSC04,glass,0.53125,0.8125
MSC06,MSC04,semantic,0.734375,0.875
MSC06,MSC04,motor,0.921875,1.0
MSC06,MSC04,mem,0.96875,1.0
MSC06,MSC05,glass,0.5,0.8125
MSC06,MSC05,semantic,0.7265625,0.875
MSC06,MSC05,motor,0.6484375,1.0
MSC06,MSC05,mem,0.9765625,1.0
MSC06,MSC07,glass,0.5234375,0.8125
MSC06,MSC07,semantic,0.859375,0.875
MSC06,MSC07,motor,0.90625,1.0
MSC06,MSC07,mem,0.90625,1.0
MSC06,MSC10,glass,0.546875,0.8125
MSC06,MSC10,semantic,0.6640625,0.875
MSC06,MSC10,motor,0.8515625,1.0
MSC06,MSC10,mem,0.9140625,1.0
MSC07,MSC01,glass,0.6015625,0.875
MSC07,MSC01,semantic,0.5546875,1.0
MSC07,MSC01,motor,0.8984375,0.9375
MSC07,MSC01,mem,0.890625,1.0
MSC07,MSC02,glass,0.5,0.875
MSC07,MSC02,semantic,0.5625,1.0
MSC07,MSC02,motor,0.8515625,0.9375
MSC07,MSC02,mem,0.8359375,1.0
MSC07,MSC03,glass,0.5,0.875
MSC07,MSC03,semantic,0.5,1.0
MSC07,MSC03,motor,0.9140625,0.9375
MSC07,MSC03,mem,0.7890625,1.0
MSC07,MSC04,glass,0.5,0.875
MSC07,MSC04,semantic,0.546875,1.0
MSC07,MSC04,motor,0.9296875,0.9375
MSC07,MSC04,mem,0.9140625,1.0
MSC07,MSC05,glass,0.5,0.875
MSC07,MSC05,semantic,0.5,1.0
MSC07,MSC05,motor,0.859375,0.9375
MSC07,MSC05,mem,0.9765625,1.0
MSC07,MSC06,glass,0.5,0.875
MSC07,MSC06,semantic,0.53125,1.0
MSC07,MSC06,motor,0.796875,0.9375
MSC07,MSC06,mem,0.9609375,1.0
MSC07,MSC10,glass,0.5,0.875
MSC07,MSC10,semantic,0.5,1.0
MSC07,MSC10,motor,1.0,0.9375
MSC07,MSC10,mem,0.90625,1.0
MSC10,MSC01,glass,0.6796875,0.875
MSC10,MSC01,semantic,0.9453125,0.875
MSC10,MSC01,motor,0.8046875,1.0
MSC10,MSC01,mem,0.9609375,0.9375
MSC10,MSC02,glass,0.546875,0.875
MSC10,MSC02,semantic,0.5703125,0.875
MSC10,MSC02,motor,0.71875,1.0
MSC10,MSC02,mem,0.875,0.9375
MSC10,MSC03,glass,0.5703125,0.875
MSC10,MSC03,semantic,0.6484375,0.875
MSC10,MSC03,motor,0.8125,1.0
MSC10,MSC03,mem,0.8828125,0.9375
MSC10,MSC04,glass,0.8359375,0.875
MSC10,MSC04,semantic,0.7890625,0.875
MSC10,MSC04,motor,0.890625,1.0
MSC10,MSC04,mem,0.8828125,0.9375
MSC10,MSC05,glass,0.6484375,0.875
MSC10,MSC05,semantic,0.625,0.875
MSC10,MSC05,motor,0.7421875,1.0
MSC10,MSC05,mem,0.9453125,0.9375
MSC10,MSC06,glass,0.5859375,0.875
MSC10,MSC06,semantic,0.6171875,0.875
MSC10,MSC06,motor,0.5703125,1.0
MSC10,MSC06,mem,0.921875,0.9375
MSC10,MSC07,glass,0.53125,0.875
MSC10,MSC07,semantic,0.5859375,0.875
MSC10,MSC07,motor,0.8359375,1.0
MSC10,MSC07,mem,0.765625,0.9375
