train_task,test_task,train_sub,test_sub,Analysis,acc
semantic,glass,MSC05,MSC06,Different Person,0.09999999999999999
semantic,motor,MSC05,MSC06,Different Person,0.2333333333333333
semantic,mem,MSC05,MSC06,Different Person,0.060000000000000005
motor,glass,MSC05,MSC06,Different Person,0.1111111111111111
motor,semantic,MSC05,MSC06,Different Person,0.01
motor,mem,MSC05,MSC06,Different Person,0.0
mem,glass,MSC05,MSC06,Different Person,0.4888888888888889
mem,semantic,MSC05,MSC06,Different Person,0.64
mem,motor,MSC05,MSC06,Different Person,0.7777777777777778
glass,semantic,MSC05,MSC07,Different Person,0.05
glass,motor,MSC05,MSC07,Different Person,0.12222222222222222
glass,mem,MSC05,MSC07,Different Person,0.0
semantic,glass,MSC05,MSC07,Different Person,0.15
semantic,motor,MSC05,MSC07,Different Person,0.6111111111111112
semantic,mem,MSC05,MSC07,Different Person,0.030000000000000002
motor,glass,MSC05,MSC07,Different Person,0.1
motor,semantic,MSC05,MSC07,Different Person,0.04
motor,mem,MSC05,MSC07,Different Person,0.060000000000000005
mem,glass,MSC05,MSC07,Different Person,0.72
mem,semantic,MSC05,MSC07,Different Person,0.7
mem,motor,MSC05,MSC07,Different Person,0.9333333333333333
glass,semantic,MSC05,MSC10,Different Person,0.08
glass,motor,MSC05,MSC10,Different Person,0.09000000000000001
glass,mem,MSC05,MSC10,Different Person,0.0
semantic,glass,MSC05,MSC10,Different Person,0.1
semantic,motor,MSC05,MSC10,Different Person,0.18
semantic,mem,MSC05,MSC10,Different Person,0.02
motor,glass,MSC05,MSC10,Different Person,0.01
motor,semantic,MSC05,MSC10,Different Person,0.02
motor,mem,MSC05,MSC10,Different Person,0.01
mem,glass,MSC05,MSC10,Different Person,0.88
mem,semantic,MSC05,MSC10,Different Person,0.64
mem,motor,MSC05,MSC10,Different Person,0.91
glass,semantic,MSC06,MSC01,Different Person,0.1
glass,motor,MSC06,MSC01,Different Person,0.07777777777777778
glass,mem,MSC06,MSC01,Different Person,0.08888888888888889
semantic,glass,MSC06,MSC01,Different Person,0.17
semantic,motor,MSC06,MSC01,Different Person,0.22
semantic,mem,MSC06,MSC01,Different Person,0.13
motor,glass,MSC06,MSC01,Different Person,0.05555555555555556
motor,semantic,MSC06,MSC01,Different Person,0.08888888888888889
motor,mem,MSC06,MSC01,Different Person,0.11111111111111112
mem,glass,MSC06,MSC01,Different Person,0.89
mem,semantic,MSC06,MSC01,Different Person,0.9
mem,motor,MSC06,MSC01,Different Person,0.91
glass,semantic,MSC06,MSC02,Different Person,0.011111111111111112
glass,motor,MSC06,MSC02,Different Person,0.0
glass,mem,MSC06,MSC02,Different Person,0.0
semantic,glass,MSC06,MSC02,Different Person,0.16
semantic,motor,MSC06,MSC02,Different Person,0.0
semantic,mem,MSC06,MSC02,Different Person,0.030000000000000002
motor,glass,MSC06,MSC02,Different Person,0.08888888888888889
motor,semantic,MSC06,MSC02,Different Person,0.17777777777777778
motor,mem,MSC06,MSC02,Different Person,0.07777777777777778
mem,glass,MSC06,MSC02,Different Person,0.36
mem,semantic,MSC06,MSC02,Different Person,0.5
mem,motor,MSC06,MSC02,Different Person,0.19
glass,semantic,MSC06,MSC03,Different Person,0.044444444444444446
glass,motor,MSC06,MSC03,Different Person,0.0
glass,mem,MSC06,MSC03,Different Person,0.0
semantic,glass,MSC06,MSC03,Different Person,0.01
semantic,motor,MSC06,MSC03,Different Person,0.02
semantic,mem,MSC06,MSC03,Different Person,0.0375
motor,glass,MSC06,MSC03,Different Person,0.11111111111111112
motor,semantic,MSC06,MSC03,Different Person,0.11111111111111112
motor,mem,MSC06,MSC03,Different Person,0.05555555555555555
mem,glass,MSC06,MSC03,Different Person,0.3
mem,semantic,MSC06,MSC03,Different Person,0.69
mem,motor,MSC06,MSC03,Different Person,0.57
glass,semantic,MSC06,MSC04,Different Person,0.08888888888888889
glass,motor,MSC06,MSC04,Different Person,0.08888888888888889
glass,mem,MSC06,MSC04,Different Person,0.044444444444444446
semantic,glass,MSC06,MSC04,Different Person,0.21
semantic,motor,MSC06,MSC04,Different Person,0.19
semantic,mem,MSC06,MSC04,Different Person,0.09000000000000001
motor,glass,MSC06,MSC04,Different Person,0.18888888888888888
motor,semantic,MSC06,MSC04,Different Person,0.12222222222222222
motor,mem,MSC06,MSC04,Different Person,0.12222222222222222
mem,glass,MSC06,MSC04,Different Person,0.89
mem,semantic,MSC06,MSC04,Different Person,0.8200000000000001
mem,motor,MSC06,MSC04,Different Person,0.75
glass,semantic,MSC06,MSC05,Different Person,0.17777777777777778
glass,motor,MSC06,MSC05,Different Person,0.2
glass,mem,MSC06,MSC05,Different Person,0.03333333333333333
semantic,glass,MSC06,MSC05,Different Person,0.04
semantic,motor,MSC06,MSC05,Different Person,0.01
semantic,mem,MSC06,MSC05,Different Person,0.21
motor,glass,MSC06,MSC05,Different Person,0.0
motor,semantic,MSC06,MSC05,Different Person,0.07777777777777778
motor,mem,MSC06,MSC05,Different Person,0.022222222222222223
mem,glass,MSC06,MSC05,Different Person,0.2
mem,semantic,MSC06,MSC05,Different Person,0.64
mem,motor,MSC06,MSC05,Different Person,0.5
glass,semantic,MSC06,MSC07,Different Person,0.12222222222222223
glass,motor,MSC06,MSC07,Different Person,0.14814814814814814
glass,mem,MSC06,MSC07,Different Person,0.07777777777777778
semantic,glass,MSC06,MSC07,Different Person,0.32
semantic,motor,MSC06,MSC07,Different Person,0.2222222222222222
semantic,mem,MSC06,MSC07,Different Person,0.24
motor,glass,MSC06,MSC07,Different Person,0.15555555555555556
motor,semantic,MSC06,MSC07,Different Person,0.2111111111111111
motor,mem,MSC06,MSC07,Different Person,0.2111111111111111
mem,glass,MSC06,MSC07,Different Person,0.98
mem,semantic,MSC06,MSC07,Different Person,0.99
mem,motor,MSC06,MSC07,Different Person,0.9333333333333333
glass,semantic,MSC06,MSC10,Different Person,0.23333333333333334
glass,motor,MSC06,MSC10,Different Person,0.14444444444444446
glass,mem,MSC06,MSC10,Different Person,0.2
semantic,glass,MSC06,MSC10,Different Person,0.27
semantic,motor,MSC06,MSC10,Different Person,0.17
semantic,mem,MSC06,MSC10,Different Person,0.42
motor,glass,MSC06,MSC10,Different Person,0.1111111111111111
motor,semantic,MSC06,MSC10,Different Person,0.18888888888888888
motor,mem,MSC06,MSC10,Different Person,0.3
mem,glass,MSC06,MSC10,Different Person,0.81
mem,semantic,MSC06,MSC10,Different Person,0.8
mem,motor,MSC06,MSC10,Different Person,0.87
glass,semantic,MSC07,MSC01,Different Person,0.31
glass,motor,MSC07,MSC01,Different Person,0.02
glass,mem,MSC07,MSC01,Different Person,0.0
semantic,glass,MSC07,MSC01,Different Person,0.08
semantic,motor,MSC07,MSC01,Different Person,0.01
semantic,mem,MSC07,MSC01,Different Person,0.0
motor,glass,MSC07,MSC01,Different Person,0.2
motor,semantic,MSC07,MSC01,Different Person,0.3333333333333333
motor,mem,MSC07,MSC01,Different Person,0.28888888888888886
mem,glass,MSC07,MSC01,Different Person,0.97
mem,semantic,MSC07,MSC01,Different Person,1.0
mem,motor,MSC07,MSC01,Different Person,0.99
glass,semantic,MSC07,MSC02,Different Person,0.1
glass,motor,MSC07,MSC02,Different Person,0.0
glass,mem,MSC07,MSC02,Different Person,0.0
semantic,glass,MSC07,MSC02,Different Person,0.0
semantic,motor,MSC07,MSC02,Different Person,0.0
semantic,mem,MSC07,MSC02,Different Person,0.0
motor,glass,MSC07,MSC02,Different Person,0.07777777777777778
motor,semantic,MSC07,MSC02,Different Person,0.32222222222222224
motor,mem,MSC07,MSC02,Different Person,0.08888888888888889
mem,glass,MSC07,MSC02,Different Person,0.73
mem,semantic,MSC07,MSC02,Different Person,0.88
mem,motor,MSC07,MSC02,Different Person,0.64
glass,semantic,MSC07,MSC03,Different Person,0.0
glass,motor,MSC07,MSC03,Different Person,0.0
glass,mem,MSC07,MSC03,Different Person,0.0
semantic,glass,MSC07,MSC03,Different Person,0.0
semantic,motor,MSC07,MSC03,Different Person,0.0
semantic,mem,MSC07,MSC03,Different Person,0.0
motor,glass,MSC07,MSC03,Different Person,0.011111111111111112
motor,semantic,MSC07,MSC03,Different Person,0.08888888888888889
motor,mem,MSC07,MSC03,Different Person,0.19444444444444445
mem,glass,MSC07,MSC03,Different Person,0.54
mem,semantic,MSC07,MSC03,Different Person,0.77
mem,motor,MSC07,MSC03,Different Person,0.73
glass,semantic,MSC07,MSC04,Different Person,0.04
glass,motor,MSC07,MSC04,Different Person,0.0
glass,mem,MSC07,MSC04,Different Person,0.0
semantic,glass,MSC07,MSC04,Different Person,0.0
semantic,motor,MSC07,MSC04,Different Person,0.0
semantic,mem,MSC07,MSC04,Different Person,0.0
motor,glass,MSC07,MSC04,Different Person,0.06666666666666667
motor,semantic,MSC07,MSC04,Different Person,0.022222222222222223
motor,mem,MSC07,MSC04,Different Person,0.1
mem,glass,MSC07,MSC04,Different Person,0.48
mem,semantic,MSC07,MSC04,Different Person,0.8500000000000001
mem,motor,MSC07,MSC04,Different Person,0.79
glass,semantic,MSC07,MSC05,Different Person,0.0
glass,motor,MSC07,MSC05,Different Person,0.0
glass,mem,MSC07,MSC05,Different Person,0.0
semantic,glass,MSC07,MSC05,Different Person,0.0
semantic,motor,MSC07,MSC05,Different Person,0.0
semantic,mem,MSC07,MSC05,Different Person,0.0
motor,glass,MSC07,MSC05,Different Person,0.32222222222222224
motor,semantic,MSC07,MSC05,Different Person,0.5111111111111111
motor,mem,MSC07,MSC05,Different Person,0.4444444444444444
mem,glass,MSC07,MSC05,Different Person,0.37
mem,semantic,MSC07,MSC05,Different Person,0.8300000000000001
mem,motor,MSC07,MSC05,Different Person,0.39
glass,semantic,MSC07,MSC06,Different Person,0.0
glass,motor,MSC07,MSC06,Different Person,0.0
glass,mem,MSC07,MSC06,Different Person,0.0
semantic,glass,MSC07,MSC06,Different Person,0.0
semantic,motor,MSC07,MSC06,Different Person,0.0
semantic,mem,MSC07,MSC06,Different Person,0.0
motor,glass,MSC07,MSC06,Different Person,0.0
motor,semantic,MSC07,MSC06,Different Person,0.05555555555555556
motor,mem,MSC07,MSC06,Different Person,0.0
mem,glass,MSC07,MSC06,Different Person,0.3333333333333333
mem,semantic,MSC07,MSC06,Different Person,0.56
mem,motor,MSC07,MSC06,Different Person,0.7222222222222222
glass,semantic,MSC07,MSC10,Different Person,0.02
glass,motor,MSC07,MSC10,Different Person,0.0
glass,mem,MSC07,MSC10,Different Person,0.0
semantic,glass,MSC07,MSC10,Different Person,0.0
semantic,motor,MSC07,MSC10,Different Person,0.0
semantic,mem,MSC07,MSC10,Different Person,0.0
motor,glass,MSC07,MSC10,Different Person,0.2111111111111111
motor,semantic,MSC07,MSC10,Different Person,0.14444444444444446
motor,mem,MSC07,MSC10,Different Person,0.4111111111111111
mem,glass,MSC07,MSC10,Different Person,0.63
mem,semantic,MSC07,MSC10,Different Person,0.74
mem,motor,MSC07,MSC10,Different Person,0.51
glass,semantic,MSC10,MSC01,Different Person,0.52
glass,motor,MSC10,MSC01,Different Person,0.5
glass,mem,MSC10,MSC01,Different Person,0.8400000000000001
semantic,glass,MSC10,MSC01,Different Person,0.64
semantic,motor,MSC10,MSC01,Different Person,0.29000000000000004
semantic,mem,MSC10,MSC01,Different Person,0.69
motor,glass,MSC10,MSC01,Different Person,0.19
motor,semantic,MSC10,MSC01,Different Person,0.27
motor,mem,MSC10,MSC01,Different Person,0.33
mem,glass,MSC10,MSC01,Different Person,0.8300000000000001
mem,semantic,MSC10,MSC01,Different Person,0.88
mem,motor,MSC10,MSC01,Different Person,0.96
glass,semantic,MSC10,MSC02,Different Person,0.14
glass,motor,MSC10,MSC02,Different Person,0.13
glass,mem,MSC10,MSC02,Different Person,0.33999999999999997
semantic,glass,MSC10,MSC02,Different Person,0.0
semantic,motor,MSC10,MSC02,Different Person,0.01
semantic,mem,MSC10,MSC02,Different Person,0.06
motor,glass,MSC10,MSC02,Different Person,0.12000000000000001
motor,semantic,MSC10,MSC02,Different Person,0.1
motor,mem,MSC10,MSC02,Different Person,0.12000000000000001
mem,glass,MSC10,MSC02,Different Person,0.62
mem,semantic,MSC10,MSC02,Different Person,0.37
mem,motor,MSC10,MSC02,Different Person,0.81
glass,semantic,MSC10,MSC03,Different Person,0.57
glass,motor,MSC10,MSC03,Different Person,0.7000000000000001
glass,mem,MSC10,MSC03,Different Person,0.9375
semantic,glass,MSC10,MSC03,Different Person,0.16
semantic,motor,MSC10,MSC03,Different Person,0.33
semantic,mem,MSC10,MSC03,Different Person,0.8875
motor,glass,MSC10,MSC03,Different Person,0.32
motor,semantic,MSC10,MSC03,Different Person,0.51
motor,mem,MSC10,MSC03,Different Person,0.5
mem,glass,MSC10,MSC03,Different Person,0.65
mem,semantic,MSC10,MSC03,Different Person,0.76
mem,motor,MSC10,MSC03,Different Person,0.99
glass,semantic,MSC10,MSC04,Different Person,0.48
glass,motor,MSC10,MSC04,Different Person,0.5700000000000001
glass,mem,MSC10,MSC04,Different Person,0.59
semantic,glass,MSC10,MSC04,Different Person,0.21
semantic,motor,MSC10,MSC04,Different Person,0.15
semantic,mem,MSC10,MSC04,Different Person,0.3
motor,glass,MSC10,MSC04,Different Person,0.39
motor,semantic,MSC10,MSC04,Different Person,0.16
motor,mem,MSC10,MSC04,Different Person,0.13
mem,glass,MSC10,MSC04,Different Person,0.9
mem,semantic,MSC10,MSC04,Different Person,0.8
mem,motor,MSC10,MSC04,Different Person,0.99
glass,semantic,MSC10,MSC05,Different Person,0.29
glass,motor,MSC10,MSC05,Different Person,0.18000000000000002
glass,mem,MSC10,MSC05,Different Person,0.7100000000000001
semantic,glass,MSC10,MSC05,Different Person,0.030000000000000002
semantic,motor,MSC10,MSC05,Different Person,0.1
semantic,mem,MSC10,MSC05,Different Person,0.51
motor,glass,MSC10,MSC05,Different Person,0.47
motor,semantic,MSC10,MSC05,Different Person,0.5
motor,mem,MSC10,MSC05,Different Person,0.49
mem,glass,MSC10,MSC05,Different Person,0.87
mem,semantic,MSC10,MSC05,Different Person,0.97
mem,motor,MSC10,MSC05,Different Person,0.61
glass,semantic,MSC10,MSC06,Different Person,0.25
glass,motor,MSC10,MSC06,Different Person,0.04444444444444444
glass,mem,MSC10,MSC06,Different Person,0.52
semantic,glass,MSC10,MSC06,Different Person,0.04444444444444444
semantic,motor,MSC10,MSC06,Different Person,0.0
semantic,mem,MSC10,MSC06,Different Person,0.2
motor,glass,MSC10,MSC06,Different Person,0.02222222222222222
motor,semantic,MSC10,MSC06,Different Person,0.0
motor,mem,MSC10,MSC06,Different Person,0.01
mem,glass,MSC10,MSC06,Different Person,0.5777777777777777
mem,semantic,MSC10,MSC06,Different Person,0.35
mem,motor,MSC10,MSC06,Different Person,0.5777777777777777
glass,semantic,MSC10,MSC07,Different Person,0.1
glass,motor,MSC10,MSC07,Different Person,0.4666666666666667
glass,mem,MSC10,MSC07,Different Person,0.02
semantic,glass,MSC10,MSC07,Different Person,0.32
semantic,motor,MSC10,MSC07,Different Person,0.16666666666666666
semantic,mem,MSC10,MSC07,Different Person,0.07
motor,glass,MSC10,MSC07,Different Person,0.030000000000000002
motor,semantic,MSC10,MSC07,Different Person,0.01
motor,mem,MSC10,MSC07,Different Person,0.0
mem,glass,MSC10,MSC07,Different Person,0.37
mem,semantic,MSC10,MSC07,Different Person,0.17
mem,motor,MSC10,MSC07,Different Person,0.7888888888888889
glass,semantic,MSC01,MSC01,Same Person,0.9
glass,motor,MSC01,MSC01,Same Person,0.86
glass,mem,MSC01,MSC01,Same Person,0.46
semantic,glass,MSC01,MSC01,Same Person,0.7
semantic,motor,MSC01,MSC01,Same Person,0.47000000000000003
semantic,mem,MSC01,MSC01,Same Person,0.31
motor,glass,MSC01,MSC01,Same Person,0.53
motor,semantic,MSC01,MSC01,Same Person,0.8
motor,mem,MSC01,MSC01,Same Person,0.3
mem,glass,MSC01,MSC01,Same Person,0.81
mem,semantic,MSC01,MSC01,Same Person,1.0
mem,motor,MSC01,MSC01,Same Person,1.0
glass,semantic,MSC02,MSC02,Same Person,0.69
glass,motor,MSC02,MSC02,Same Person,0.18
glass,mem,MSC02,MSC02,Same Person,0.12000000000000001
semantic,glass,MSC02,MSC02,Same Person,0.29
semantic,motor,MSC02,MSC02,Same Person,0.0
semantic,mem,MSC02,MSC02,Same Person,0.0
motor,glass,MSC02,MSC02,Same Person,0.0
motor,semantic,MSC02,MSC02,Same Person,0.0
motor,mem,MSC02,MSC02,Same Person,0.0
mem,glass,MSC02,MSC02,Same Person,0.49
mem,semantic,MSC02,MSC02,Same Person,0.6599999999999999
mem,motor,MSC02,MSC02,Same Person,0.26
glass,semantic,MSC03,MSC03,Same Person,0.5499999999999999
glass,motor,MSC03,MSC03,Same Person,0.81
glass,mem,MSC03,MSC03,Same Person,0.2625
semantic,glass,MSC03,MSC03,Same Person,0.36
semantic,motor,MSC03,MSC03,Same Person,0.36
semantic,mem,MSC03,MSC03,Same Person,0.3125
motor,glass,MSC03,MSC03,Same Person,0.36
motor,semantic,MSC03,MSC03,Same Person,0.1
motor,mem,MSC03,MSC03,Same Person,0.2125
mem,glass,MSC03,MSC03,Same Person,0.1625
mem,semantic,MSC03,MSC03,Same Person,0.42500000000000004
mem,motor,MSC03,MSC03,Same Person,0.7375
glass,semantic,MSC04,MSC04,Same Person,0.9400000000000001
glass,motor,MSC04,MSC04,Same Person,0.8
glass,mem,MSC04,MSC04,Same Person,0.7
semantic,glass,MSC04,MSC04,Same Person,0.64
semantic,motor,MSC04,MSC04,Same Person,0.030000000000000002
semantic,mem,MSC04,MSC04,Same Person,0.45
motor,glass,MSC04,MSC04,Same Person,0.85
motor,semantic,MSC04,MSC04,Same Person,0.12000000000000001
motor,mem,MSC04,MSC04,Same Person,0.31
mem,glass,MSC04,MSC04,Same Person,0.98
mem,semantic,MSC04,MSC04,Same Person,0.9
mem,motor,MSC04,MSC04,Same Person,0.8
glass,semantic,MSC05,MSC05,Same Person,0.8200000000000001
glass,motor,MSC05,MSC05,Same Person,0.7
glass,mem,MSC05,MSC05,Same Person,0.87
semantic,glass,MSC05,MSC05,Same Person,0.78
semantic,motor,MSC05,MSC05,Same Person,0.43
semantic,mem,MSC05,MSC05,Same Person,0.6900000000000001
motor,glass,MSC05,MSC05,Same Person,0.48
motor,semantic,MSC05,MSC05,Same Person,0.27
motor,mem,MSC05,MSC05,Same Person,0.58
mem,glass,MSC05,MSC05,Same Person,0.81
mem,semantic,MSC05,MSC05,Same Person,0.78
mem,motor,MSC05,MSC05,Same Person,1.0
glass,semantic,MSC06,MSC06,Same Person,0.7111111111111111
glass,motor,MSC06,MSC06,Same Person,0.4444444444444444
glass,mem,MSC06,MSC06,Same Person,0.8111111111111111
semantic,glass,MSC06,MSC06,Same Person,0.5333333333333333
semantic,motor,MSC06,MSC06,Same Person,0.3111111111111111
semantic,mem,MSC06,MSC06,Same Person,0.64
motor,glass,MSC06,MSC06,Same Person,0.024691358024691357
motor,semantic,MSC06,MSC06,Same Person,0.18888888888888888
motor,mem,MSC06,MSC06,Same Person,0.1
mem,glass,MSC06,MSC06,Same Person,0.6888888888888889
mem,semantic,MSC06,MSC06,Same Person,0.6799999999999999
mem,motor,MSC06,MSC06,Same Person,0.8
glass,semantic,MSC07,MSC07,Same Person,1.0
glass,motor,MSC07,MSC07,Same Person,0.19999999999999998
glass,mem,MSC07,MSC07,Same Person,0.35
semantic,glass,MSC07,MSC07,Same Person,0.8400000000000001
semantic,motor,MSC07,MSC07,Same Person,0.1111111111111111
semantic,mem,MSC07,MSC07,Same Person,0.17
motor,glass,MSC07,MSC07,Same Person,0.0
motor,semantic,MSC07,MSC07,Same Person,0.0
motor,mem,MSC07,MSC07,Same Person,0.0
mem,glass,MSC07,MSC07,Same Person,0.9
mem,semantic,MSC07,MSC07,Same Person,0.8500000000000001
mem,motor,MSC07,MSC07,Same Person,0.5222222222222221
glass,semantic,MSC10,MSC10,Same Person,0.79
glass,motor,MSC10,MSC10,Same Person,0.74
glass,mem,MSC10,MSC10,Same Person,0.65
semantic,glass,MSC10,MSC10,Same Person,0.77
semantic,motor,MSC10,MSC10,Same Person,0.38
semantic,mem,MSC10,MSC10,Same Person,0.6
motor,glass,MSC10,MSC10,Same Person,0.22
motor,semantic,MSC10,MSC10,Same Person,0.2
motor,mem,MSC10,MSC10,Same Person,0.27
mem,glass,MSC10,MSC10,Same Person,0.7
mem,semantic,MSC10,MSC10,Same Person,0.7
mem,motor,MSC10,MSC10,Same Person,0.8200000000000001
