,train_task,test_task,train_sub,Analysis,acc
0,glass,mem,MSC01,Different Person,0.11678571428571428
1,glass,mem,MSC01,Same Person,0.46
2,glass,mem,MSC02,Different Person,0.0
3,glass,mem,MSC02,Same Person,0.12
4,glass,mem,MSC03,Different Person,0.005714285714285714
5,glass,mem,MSC03,Same Person,0.2625
6,glass,mem,MSC04,Different Person,0.37785714285714284
7,glass,mem,MSC04,Same Person,0.7
8,glass,mem,MSC05,Different Person,0.0071428571428571435
9,glass,mem,MSC05,Same Person,0.87
10,glass,mem,MSC06,Different Person,0.06349206349206346
11,glass,mem,MSC06,Same Person,0.8111111111111111
12,glass,mem,MSC07,Different Person,0.0
13,glass,mem,MSC07,Same Person,0.35
14,glass,mem,MSC10,Different Person,0.5653571428571429
15,glass,mem,MSC10,Same Person,0.65
16,glass,motor,MSC01,Different Person,0.17777777777777778
17,glass,motor,MSC01,Same Person,0.86
18,glass,motor,MSC02,Different Person,0.0173015873015873
19,glass,motor,MSC02,Same Person,0.18
20,glass,motor,MSC03,Different Person,0.07428571428571429
21,glass,motor,MSC03,Same Person,0.81
22,glass,motor,MSC04,Different Person,0.46968253968253965
23,glass,motor,MSC04,Same Person,0.8
24,glass,motor,MSC05,Different Person,0.14809523809523809
25,glass,motor,MSC05,Same Person,0.7
26,glass,motor,MSC06,Different Person,0.09417989417989414
27,glass,motor,MSC06,Same Person,0.4444444444444444
28,glass,motor,MSC07,Different Person,0.002857142857142857
29,glass,motor,MSC07,Same Person,0.1999999999999999
30,glass,motor,MSC10,Different Person,0.3701587301587302
31,glass,motor,MSC10,Same Person,0.74
32,glass,semantic,MSC01,Different Person,0.3442857142857143
33,glass,semantic,MSC01,Same Person,0.9
34,glass,semantic,MSC02,Different Person,0.024285714285714282
35,glass,semantic,MSC02,Same Person,0.69
36,glass,semantic,MSC03,Different Person,0.0014285714285714286
37,glass,semantic,MSC03,Same Person,0.5499999999999999
38,glass,semantic,MSC04,Different Person,0.31857142857142856
39,glass,semantic,MSC04,Same Person,0.94
40,glass,semantic,MSC05,Different Person,0.07428571428571429
41,glass,semantic,MSC05,Same Person,0.8200000000000001
42,glass,semantic,MSC06,Different Person,0.11111111111111106
43,glass,semantic,MSC06,Same Person,0.7111111111111111
44,glass,semantic,MSC07,Different Person,0.06714285714285714
45,glass,semantic,MSC07,Same Person,1.0
46,glass,semantic,MSC10,Different Person,0.33571428571428574
47,glass,semantic,MSC10,Same Person,0.79
48,mem,glass,MSC01,Different Person,0.7065079365079365
49,mem,glass,MSC01,Same Person,0.81
50,mem,glass,MSC02,Different Person,0.8612698412698413
51,mem,glass,MSC02,Same Person,0.49
52,mem,glass,MSC03,Different Person,0.09841269841269841
53,mem,glass,MSC03,Same Person,0.1625
54,mem,glass,MSC04,Different Person,0.6331746031746032
55,mem,glass,MSC04,Same Person,0.98
56,mem,glass,MSC05,Different Person,0.7755555555555557
57,mem,glass,MSC05,Same Person,0.81
58,mem,glass,MSC06,Different Person,0.6328571428571428
59,mem,glass,MSC06,Same Person,0.6888888888888889
60,mem,glass,MSC07,Different Person,0.5790476190476189
61,mem,glass,MSC07,Same Person,0.9
62,mem,glass,MSC10,Different Person,0.6882539682539682
63,mem,glass,MSC10,Same Person,0.7
64,mem,motor,MSC01,Different Person,0.8188888888888889
65,mem,motor,MSC01,Same Person,1.0
66,mem,motor,MSC02,Different Person,0.9609523809523809
67,mem,motor,MSC02,Same Person,0.26
68,mem,motor,MSC03,Different Person,0.17539682539682538
69,mem,motor,MSC03,Same Person,0.7375
70,mem,motor,MSC04,Different Person,0.753015873015873
71,mem,motor,MSC04,Same Person,0.8
72,mem,motor,MSC05,Different Person,0.8987301587301587
73,mem,motor,MSC05,Same Person,1.0
74,mem,motor,MSC06,Different Person,0.6747619047619047
75,mem,motor,MSC06,Same Person,0.8
76,mem,motor,MSC07,Different Person,0.6817460317460318
77,mem,motor,MSC07,Same Person,0.5222222222222221
78,mem,motor,MSC10,Different Person,0.8180952380952381
79,mem,motor,MSC10,Same Person,0.8200000000000001
80,mem,semantic,MSC01,Different Person,0.7985714285714286
81,mem,semantic,MSC01,Same Person,1.0
82,mem,semantic,MSC02,Different Person,0.89
83,mem,semantic,MSC02,Same Person,0.6599999999999999
84,mem,semantic,MSC03,Different Person,0.16785714285714284
85,mem,semantic,MSC03,Same Person,0.425
86,mem,semantic,MSC04,Different Person,0.7157142857142856
87,mem,semantic,MSC04,Same Person,0.9
88,mem,semantic,MSC05,Different Person,0.7171428571428571
89,mem,semantic,MSC05,Same Person,0.78
90,mem,semantic,MSC06,Different Person,0.7628571428571428
91,mem,semantic,MSC06,Same Person,0.6799999999999999
92,mem,semantic,MSC07,Different Person,0.8042857142857143
93,mem,semantic,MSC07,Same Person,0.8500000000000001
94,mem,semantic,MSC10,Different Person,0.6142857142857142
95,mem,semantic,MSC10,Same Person,0.7
96,motor,glass,MSC01,Different Person,0.44603174603174606
97,motor,glass,MSC01,Same Person,0.53
98,motor,glass,MSC02,Different Person,0.0071428571428571435
99,motor,glass,MSC02,Same Person,0.0
100,motor,glass,MSC03,Different Person,0.08999999999999998
101,motor,glass,MSC03,Same Person,0.36
102,motor,glass,MSC04,Different Person,0.35666666666666663
103,motor,glass,MSC04,Same Person,0.85
104,motor,glass,MSC05,Different Person,0.15158730158730158
105,motor,glass,MSC05,Same Person,0.48
106,motor,glass,MSC06,Different Person,0.10158730158730155
107,motor,glass,MSC06,Same Person,0.0246913580246913
108,motor,glass,MSC07,Different Person,0.12698412698412695
109,motor,glass,MSC07,Same Person,0.0
110,motor,glass,MSC10,Different Person,0.2203174603174603
111,motor,glass,MSC10,Same Person,0.22
112,motor,mem,MSC01,Different Person,0.4617857142857143
113,motor,mem,MSC01,Same Person,0.3
114,motor,mem,MSC02,Different Person,0.0
115,motor,mem,MSC02,Same Person,0.0
116,motor,mem,MSC03,Different Person,0.14142857142857143
117,motor,mem,MSC03,Same Person,0.2125
118,motor,mem,MSC04,Different Person,0.4310714285714286
119,motor,mem,MSC04,Same Person,0.31
120,motor,mem,MSC05,Different Person,0.011428571428571429
121,motor,mem,MSC05,Same Person,0.58
122,motor,mem,MSC06,Different Person,0.12857142857142853
123,motor,mem,MSC06,Same Person,0.1
124,motor,mem,MSC07,Different Person,0.2182539682539682
125,motor,mem,MSC07,Same Person,0.0
126,motor,mem,MSC10,Different Person,0.22571428571428573
127,motor,mem,MSC10,Same Person,0.27
128,motor,semantic,MSC01,Different Person,0.5828571428571429
129,motor,semantic,MSC01,Same Person,0.8
130,motor,semantic,MSC02,Different Person,0.014285714285714287
131,motor,semantic,MSC02,Same Person,0.0
132,motor,semantic,MSC03,Different Person,0.07857142857142858
133,motor,semantic,MSC03,Same Person,0.1
134,motor,semantic,MSC04,Different Person,0.39
135,motor,semantic,MSC04,Same Person,0.12
136,motor,semantic,MSC05,Different Person,0.09714285714285716
137,motor,semantic,MSC05,Same Person,0.27
138,motor,semantic,MSC06,Different Person,0.13968253968253963
139,motor,semantic,MSC06,Same Person,0.1888888888888888
140,motor,semantic,MSC07,Different Person,0.21111111111111105
141,motor,semantic,MSC07,Same Person,0.0
142,motor,semantic,MSC10,Different Person,0.22142857142857145
143,motor,semantic,MSC10,Same Person,0.2
144,semantic,glass,MSC01,Different Person,0.16999999999999998
145,semantic,glass,MSC01,Same Person,0.7
146,semantic,glass,MSC02,Different Person,0.017142857142857144
147,semantic,glass,MSC02,Same Person,0.29
148,semantic,glass,MSC03,Different Person,0.0014285714285714286
149,semantic,glass,MSC03,Same Person,0.36
150,semantic,glass,MSC04,Different Person,0.11142857142857143
151,semantic,glass,MSC04,Same Person,0.64
152,semantic,glass,MSC05,Different Person,0.21428571428571427
153,semantic,glass,MSC05,Same Person,0.78
154,semantic,glass,MSC06,Different Person,0.1685714285714286
155,semantic,glass,MSC06,Same Person,0.5333333333333333
156,semantic,glass,MSC07,Different Person,0.011428571428571429
157,semantic,glass,MSC07,Same Person,0.8400000000000001
158,semantic,glass,MSC10,Different Person,0.20063492063492064
159,semantic,glass,MSC10,Same Person,0.77
160,semantic,mem,MSC01,Different Person,0.12928571428571428
161,semantic,mem,MSC01,Same Person,0.31
162,semantic,mem,MSC02,Different Person,0.014285714285714287
163,semantic,mem,MSC02,Same Person,0.0
164,semantic,mem,MSC03,Different Person,0.0071428571428571435
165,semantic,mem,MSC03,Same Person,0.3125
166,semantic,mem,MSC04,Different Person,0.10750000000000001
167,semantic,mem,MSC04,Same Person,0.45
168,semantic,mem,MSC05,Different Person,0.17357142857142854
169,semantic,mem,MSC05,Same Person,0.6900000000000001
170,semantic,mem,MSC06,Different Person,0.16535714285714284
171,semantic,mem,MSC06,Same Person,0.64
172,semantic,mem,MSC07,Different Person,0.0
173,semantic,mem,MSC07,Same Person,0.17
174,semantic,mem,MSC10,Different Person,0.38821428571428573
175,semantic,mem,MSC10,Same Person,0.6
176,semantic,motor,MSC01,Different Person,0.1073015873015873
177,semantic,motor,MSC01,Same Person,0.47
178,semantic,motor,MSC02,Different Person,0.0015873015873015856
179,semantic,motor,MSC02,Same Person,0.0
180,semantic,motor,MSC03,Different Person,0.0
181,semantic,motor,MSC03,Same Person,0.36
182,semantic,motor,MSC04,Different Person,0.004285714285714286
183,semantic,motor,MSC04,Same Person,0.03
184,semantic,motor,MSC05,Different Person,0.44492063492063494
185,semantic,motor,MSC05,Same Person,0.43
186,semantic,motor,MSC06,Different Person,0.11888888888888889
187,semantic,motor,MSC06,Same Person,0.3111111111111111
188,semantic,motor,MSC07,Different Person,0.0014285714285714286
189,semantic,motor,MSC07,Same Person,0.1111111111111111
190,semantic,motor,MSC10,Different Person,0.14952380952380953
191,semantic,motor,MSC10,Same Person,0.38
